;Pavadinimas
100;Oficialu: „Žalgiris“ sukirto rankomis su D. Riversu
101;Iki motociklų sezono pradžios liko labai nedaug: kas laukia šiemet?
102;Ne kartą baustas panevėžietis už kontrabandą vėl pakliuvo į pasieniečių akiratį
103;Tris pėsčiąsias sužalojusiam neblaiviam pavežėjui siūloma užsegti apykoję
104;Pateikė daugiau detalių: L. Volkovo užpuolimu Vilniuje įtariami du Lenkijos piliečiai
105;Vilniuje sustabdytame automobilyje – įtartini radiniai, vairuotojas uždarytas į areštinę
106;Vilniuje ir Vilniaus rajone galimai smurtauta prieš mažamečius
107;Vilniuje iš moters išvilioti 6 tūkst. eurų
108;Alytuje išgertuvių metu vyras, įtariama, išžagino moterį
109;Venecijos šiuolaikinio meno bienalėje atidaromas Lietuvos paviljonas
110;Už viso gyvenimo nuopelnus Lietuvos kultūros paveldui apdovanoti J. Glemža, R. Jaloveckas
111;Princas Williamas pirmą kartą po Kate vėžio diagnozės grįžo prie viešųjų pareigų
112;EŽTT nepriėmė F. Kirkorovo skundo dėl draudimo atvykti į Lietuvą
113;Spektaklyje „Atžalynas“ – vertybių priminimas
114;P. Gražulis apie romantiškų santykių atnaujinimą su dukters mama Birute: gal yra tas noras
115;Mažosios Lietuvos saugomų teritorijų direkcijos lankytojų centrui – ypatinga dovana
116;Dienos horoskopas 12 Zodiako ženklų (balandžio 19 d.)
117;Pensininkas per parą aplankė 120 barų ir tapo pasaulio rekordininku
118;Sunkiai įsivaizduojamo statumo gatvė negąsdina vairuotojų: avarijų daug, bet sutrumpėja kelias
119;Atšilus orams viešose vietose lesinti paukščius draudžiama
120;Dienos horoskopas 12 Zodiako ženklų (balandžio 18 d.)
121;Nusikaltėlis apsiginklavo gyvate ir pabandė apiplėšti parduotuvę
122;Įspėjamieji pranešimai telefone: kodėl gauna ne visi?
